"doy","fit","se","Site","validName"
69,2.22044604925031e-16,4.06853494548433e-14,"Demi","Eusarca confusaria"
70,2.22044604925031e-16,4.0670485863647e-14,"Demi","Eusarca confusaria"
71,2.22044604925031e-16,4.06556840784298e-14,"Demi","Eusarca confusaria"
72,2.22044604925031e-16,4.06409422938647e-14,"Demi","Eusarca confusaria"
73,2.22044604925031e-16,4.06262586367169e-14,"Demi","Eusarca confusaria"
74,2.22044604925031e-16,4.06116311658863e-14,"Demi","Eusarca confusaria"
75,2.22044604925031e-16,4.05970578725069e-14,"Demi","Eusarca confusaria"
76,2.22044604925031e-16,4.05825366801028e-14,"Demi","Eusarca confusaria"
77,2.22044604925031e-16,4.0568065444799e-14,"Demi","Eusarca confusaria"
78,2.22044604925031e-16,4.05536419555905e-14,"Demi","Eusarca confusaria"
79,2.22044604925031e-16,4.05392639346659e-14,"Demi","Eusarca confusaria"
80,2.22044604925031e-16,4.05249290377886e-14,"Demi","Eusarca confusaria"
81,2.22044604925031e-16,4.05106348547341e-14,"Demi","Eusarca confusaria"
82,2.22044604925031e-16,4.04963789097828e-14,"Demi","Eusarca confusaria"
83,2.22044604925031e-16,4.04821586622704e-14,"Demi","Eusarca confusaria"
84,2.22044604925031e-16,4.04679715071932e-14,"Demi","Eusarca confusaria"
85,2.22044604925031e-16,4.04538147758715e-14,"Demi","Eusarca confusaria"
86,2.22044604925031e-16,4.04396857366671e-14,"Demi","Eusarca confusaria"
87,2.22044604925031e-16,4.04255815957592e-14,"Demi","Eusarca confusaria"
88,2.22044604925031e-16,4.04114994979747e-14,"Demi","Eusarca confusaria"
89,2.22044604925031e-16,4.03974365276762e-14,"Demi","Eusarca confusaria"
90,2.22044604925031e-16,4.03833897097048e-14,"Demi","Eusarca confusaria"
91,2.22044604925031e-16,4.03693560103808e-14,"Demi","Eusarca confusaria"
92,2.22044604925031e-16,4.03553323385584e-14,"Demi","Eusarca confusaria"
93,2.22044604925031e-16,4.03413155467386e-14,"Demi","Eusarca confusaria"
94,2.22044604925031e-16,4.03273024322367e-14,"Demi","Eusarca confusaria"
95,2.22044604925031e-16,4.03132897384065e-14,"Demi","Eusarca confusaria"
96,2.22044604925031e-16,4.02992741559205e-14,"Demi","Eusarca confusaria"
97,2.22044604925031e-16,4.02852523241064e-14,"Demi","Eusarca confusaria"
98,2.22044604925031e-16,4.02712208323389e-14,"Demi","Eusarca confusaria"
99,2.22044604925031e-16,4.02571762214881e-14,"Demi","Eusarca confusaria"
100,2.22044604925031e-16,4.0243114985424e-14,"Demi","Eusarca confusaria"
101,2.22044604925031e-16,4.02290335725764e-14,"Demi","Eusarca confusaria"
102,2.22044604925031e-16,4.02149283875516e-14,"Demi","Eusarca confusaria"
103,2.22044604925031e-16,4.02007957928043e-14,"Demi","Eusarca confusaria"
104,2.22044604925031e-16,4.01866321103667e-14,"Demi","Eusarca confusaria"
105,2.22044604925031e-16,4.01724336236323e-14,"Demi","Eusarca confusaria"
106,2.22044604925031e-16,4.01581965791969e-14,"Demi","Eusarca confusaria"
107,2.22044604925031e-16,4.01439171887555e-14,"Demi","Eusarca confusaria"
108,2.22044604925031e-16,4.01295916310551e-14,"Demi","Eusarca confusaria"
109,2.22044604925031e-16,4.01152160539043e-14,"Demi","Eusarca confusaria"
110,2.22044604925031e-16,4.01007865762389e-14,"Demi","Eusarca confusaria"
111,2.22044604925031e-16,4.00862992902443e-14,"Demi","Eusarca confusaria"
112,2.22044604925031e-16,4.00717502635341e-14,"Demi","Eusarca confusaria"
113,2.22044604925031e-16,4.00571355413859e-14,"Demi","Eusarca confusaria"
114,2.22044604925031e-16,4.00424511490334e-14,"Demi","Eusarca confusaria"
115,2.22044604925031e-16,4.0027693094016e-14,"Demi","Eusarca confusaria"
116,2.22044604925031e-16,4.00128573685851e-14,"Demi","Eusarca confusaria"
117,2.22044604925031e-16,3.99979399521681e-14,"Demi","Eusarca confusaria"
118,2.22044604925031e-16,3.99829368138896e-14,"Demi","Eusarca confusaria"
119,2.22044604925031e-16,3.99678439151507e-14,"Demi","Eusarca confusaria"
120,2.22044604925031e-16,3.99526572122659e-14,"Demi","Eusarca confusaria"
121,2.22044604925031e-16,3.99373726591585e-14,"Demi","Eusarca confusaria"
122,2.22044604925031e-16,3.99219862101144e-14,"Demi","Eusarca confusaria"
123,2.22044604925031e-16,3.99064938225945e-14,"Demi","Eusarca confusaria"
124,2.22044604925031e-16,3.98908914601067e-14,"Demi","Eusarca confusaria"
125,2.22044604925031e-16,3.98751750951369e-14,"Demi","Eusarca confusaria"
126,2.22044604925031e-16,3.98593407121397e-14,"Demi","Eusarca confusaria"
127,2.22044604925031e-16,3.98433843105896e-14,"Demi","Eusarca confusaria"
128,2.22044604925031e-16,3.98273019080931e-14,"Demi","Eusarca confusaria"
129,2.22044604925031e-16,3.98110895435605e-14,"Demi","Eusarca confusaria"
130,2.22044604925031e-16,3.97947432804404e-14,"Demi","Eusarca confusaria"
131,2.22044604925031e-16,3.97782592100157e-14,"Demi","Eusarca confusaria"
132,2.22044604925031e-16,3.97616334547621e-14,"Demi","Eusarca confusaria"
133,2.22044604925031e-16,3.97448621717692e-14,"Demi","Eusarca confusaria"
134,2.22044604925031e-16,3.97279415562251e-14,"Demi","Eusarca confusaria"
135,2.22044604925031e-16,3.97108678449657e-14,"Demi","Eusarca confusaria"
136,2.22044604925031e-16,3.96936373200879e-14,"Demi","Eusarca confusaria"
137,2.22044604925031e-16,3.96762463126286e-14,"Demi","Eusarca confusaria"
138,2.22044604925031e-16,3.96586912063089e-14,"Demi","Eusarca confusaria"
139,2.22044604925031e-16,3.9640968441346e-14,"Demi","Eusarca confusaria"
140,2.22044604925031e-16,3.96230746311139e-14,"Demi","Eusarca confusaria"
141,2.22044604925031e-16,3.96050108394866e-14,"Demi","Eusarca confusaria"
142,2.22044604925031e-16,3.95867839026997e-14,"Demi","Eusarca confusaria"
143,2.22044604925031e-16,3.95684011153046e-14,"Demi","Eusarca confusaria"
144,2.22044604925031e-16,3.95498698442524e-14,"Demi","Eusarca confusaria"
145,2.22044604925031e-16,3.95311975235832e-14,"Demi","Eusarca confusaria"
146,2.22044604925031e-16,3.95123916492577e-14,"Demi","Eusarca confusaria"
147,2.22044604925031e-16,3.94934597741258e-14,"Demi","Eusarca confusaria"
148,2.22044604925031e-16,3.94744095030376e-14,"Demi","Eusarca confusaria"
149,2.22044604925031e-16,3.94552484880917e-14,"Demi","Eusarca confusaria"
150,2.22044604925031e-16,3.94359844240238e-14,"Demi","Eusarca confusaria"
151,2.22044604925031e-16,3.94166250437336e-14,"Demi","Eusarca confusaria"
152,2.22044604925031e-16,3.93971781139513e-14,"Demi","Eusarca confusaria"
153,2.22044604925031e-16,3.9377651431043e-14,"Demi","Eusarca confusaria"
154,2.22044604925031e-16,3.93580528169543e-14,"Demi","Eusarca confusaria"
155,2.22044604925031e-16,3.93383901152946e-14,"Demi","Eusarca confusaria"
156,2.22044604925031e-16,3.93186711875589e-14,"Demi","Eusarca confusaria"
157,2.22044604925031e-16,3.92989039094908e-14,"Demi","Eusarca confusaria"
158,2.22044604925031e-16,3.9279096167584e-14,"Demi","Eusarca confusaria"
159,2.22044604925031e-16,3.92592558557245e-14,"Demi","Eusarca confusaria"
160,2.22044604925031e-16,3.92393908719736e-14,"Demi","Eusarca confusaria"
161,2.22044604925031e-16,3.92195091154902e-14,"Demi","Eusarca confusaria"
162,2.22044604925031e-16,3.91996184835965e-14,"Demi","Eusarca confusaria"
163,2.22044604925031e-16,3.91797268689837e-14,"Demi","Eusarca confusaria"
164,2.22044604925031e-16,3.91598421570607e-14,"Demi","Eusarca confusaria"
165,2.22044604925031e-16,3.91399722234455e-14,"Demi","Eusarca confusaria"
166,2.22044604925031e-16,3.91201249315997e-14,"Demi","Eusarca confusaria"
167,2.22044604925031e-16,3.91003081306076e-14,"Demi","Eusarca confusaria"
168,2.22044604925031e-16,3.90805296530985e-14,"Demi","Eusarca confusaria"
169,2.22044604925031e-16,3.90607973133163e-14,"Demi","Eusarca confusaria"
170,2.22044604925031e-16,3.9041118905333e-14,"Demi","Eusarca confusaria"
171,2.22044604925031e-16,3.90215022014099e-14,"Demi","Eusarca confusaria"
172,2.22044604925031e-16,3.90019549505057e-14,"Demi","Eusarca confusaria"
173,2.22044604925031e-16,3.8982484876933e-14,"Demi","Eusarca confusaria"
174,2.22044604925031e-16,3.89630996791633e-14,"Demi","Eusarca confusaria"
175,2.22044604925031e-16,3.89438070287812e-14,"Demi","Eusarca confusaria"
176,2.22044604925031e-16,3.89246145695896e-14,"Demi","Eusarca confusaria"
177,2.22044604925031e-16,3.89055299168654e-14,"Demi","Eusarca confusaria"
178,2.22044604925031e-16,3.88865606567669e-14,"Demi","Eusarca confusaria"
179,2.22044604925031e-16,3.88677143458939e-14,"Demi","Eusarca confusaria"
180,2.22044604925031e-16,3.88489985110016e-14,"Demi","Eusarca confusaria"
181,2.22044604925031e-16,3.88304206488672e-14,"Demi","Eusarca confusaria"
182,2.22044604925031e-16,3.88119882263128e-14,"Demi","Eusarca confusaria"
183,2.22044604925031e-16,3.87937086803827e-14,"Demi","Eusarca confusaria"
184,2.22044604925031e-16,3.8775589418677e-14,"Demi","Eusarca confusaria"
185,2.22044604925031e-16,3.87576378198428e-14,"Demi","Eusarca confusaria"
186,2.22044604925031e-16,3.87398612342222e-14,"Demi","Eusarca confusaria"
187,2.22044604925031e-16,3.87222669846588e-14,"Demi","Eusarca confusaria"
188,2.22044604925031e-16,3.8704862367463e-14,"Demi","Eusarca confusaria"
189,2.22044604925031e-16,3.86876546535367e-14,"Demi","Eusarca confusaria"
190,2.22044604925031e-16,3.86706510896579e-14,"Demi","Eusarca confusaria"
191,2.22044604925031e-16,3.86538588999262e-14,"Demi","Eusarca confusaria"
192,2.22044604925031e-16,3.86372852873687e-14,"Demi","Eusarca confusaria"
193,2.22044604925031e-16,3.8620937435708e-14,"Demi","Eusarca confusaria"
194,2.22044604925031e-16,3.86048225112915e-14,"Demi","Eusarca confusaria"
195,2.22044604925031e-16,3.85889476651834e-14,"Demi","Eusarca confusaria"
196,2.22044604925031e-16,3.85733200354192e-14,"Demi","Eusarca confusaria"
197,2.22044604925031e-16,3.85579467494229e-14,"Demi","Eusarca confusaria"
198,2.22044604925031e-16,3.85428349265873e-14,"Demi","Eusarca confusaria"
199,2.22044604925031e-16,3.85279916810179e-14,"Demi","Eusarca confusaria"
200,2.22044604925031e-16,3.85134241244396e-14,"Demi","Eusarca confusaria"
201,2.22044604925031e-16,3.84991393692675e-14,"Demi","Eusarca confusaria"
202,2.22044604925031e-16,3.84851445318403e-14,"Demi","Eusarca confusaria"
203,2.22044604925031e-16,3.84714467358179e-14,"Demi","Eusarca confusaria"
204,2.22044604925031e-16,3.84580531157419e-14,"Demi","Eusarca confusaria"
205,2.22044604925031e-16,3.84449708207581e-14,"Demi","Eusarca confusaria"
206,2.22044604925031e-16,3.84322070185038e-14,"Demi","Eusarca confusaria"
207,2.22044604925031e-16,3.84197688991551e-14,"Demi","Eusarca confusaria"
208,2.22044604925031e-16,3.84076636796381e-14,"Demi","Eusarca confusaria"
209,2.22044604925031e-16,3.83958986079996e-14,"Demi","Eusarca confusaria"
210,2.22044604925031e-16,3.83844809679403e-14,"Demi","Eusarca confusaria"
211,2.22044604925031e-16,3.83734180835069e-14,"Demi","Eusarca confusaria"
212,2.22044604925031e-16,3.83627173239435e-14,"Demi","Eusarca confusaria"
213,2.22044604925031e-16,3.83523861087021e-14,"Demi","Eusarca confusaria"
214,2.22044604925031e-16,3.83424319126098e-14,"Demi","Eusarca confusaria"
215,2.22044604925031e-16,3.83328622711927e-14,"Demi","Eusarca confusaria"
216,2.22044604925031e-16,3.83236847861541e-14,"Demi","Eusarca confusaria"
217,2.22044604925031e-16,3.83149071310079e-14,"Demi","Eusarca confusaria"
218,2.22044604925031e-16,3.83065370568632e-14,"Demi","Eusarca confusaria"
219,2.22044604925031e-16,3.82985823983601e-14,"Demi","Eusarca confusaria"
220,2.22044604925031e-16,3.82910510797551e-14,"Demi","Eusarca confusaria"
221,2.22044604925031e-16,3.82839511211535e-14,"Demi","Eusarca confusaria"
222,2.22044604925031e-16,3.82772906448872e-14,"Demi","Eusarca confusaria"
223,2.22044604925031e-16,3.82710778820369e-14,"Demi","Eusarca confusaria"
224,2.22044604925031e-16,3.8265321179095e-14,"Demi","Eusarca confusaria"
225,2.22044604925031e-16,3.8260028983903e-14,"Demi","Eusarca confusaria"
226,2.22044604925031e-16,3.82552054451651e-14,"Demi","Eusarca confusaria"
227,2.22044604925031e-16,3.82508449344048e-14,"Demi","Eusarca confusaria"
228,2.22044604925031e-16,3.82469405486597e-14,"Demi","Eusarca confusaria"
229,2.22044604925031e-16,3.8243485436376e-14,"Demi","Eusarca confusaria"
230,2.22044604925031e-16,3.82404727896744e-14,"Demi","Eusarca confusaria"
231,2.22044604925031e-16,3.82378958369693e-14,"Demi","Eusarca confusaria"
232,2.22044604925031e-16,3.82357478359433e-14,"Demi","Eusarca confusaria"
233,2.22044604925031e-16,3.82340220668803e-14,"Demi","Eusarca confusaria"
234,2.22044604925031e-16,3.82327118263584e-14,"Demi","Eusarca confusaria"
235,2.22044604925031e-16,3.82318104213028e-14,"Demi","Eusarca confusaria"
236,2.22044604925031e-16,3.82313111634043e-14,"Demi","Eusarca confusaria"
237,2.22044604925031e-16,3.82312073638995e-14,"Demi","Eusarca confusaria"
238,2.22044604925031e-16,3.8231492328719e-14,"Demi","Eusarca confusaria"
239,2.22044604925031e-16,3.82321593540004e-14,"Demi","Eusarca confusaria"
240,2.22044604925031e-16,3.82332017219712e-14,"Demi","Eusarca confusaria"
241,2.22044604925031e-16,3.82346126971979e-14,"Demi","Eusarca confusaria"
242,2.22044604925031e-16,3.82363855232053e-14,"Demi","Eusarca confusaria"
243,2.22044604925031e-16,3.82385134194664e-14,"Demi","Eusarca confusaria"
244,2.22044604925031e-16,3.82409895787599e-14,"Demi","Eusarca confusaria"
245,2.22044604925031e-16,3.82438071649004e-14,"Demi","Eusarca confusaria"
246,2.22044604925031e-16,3.8246959310837e-14,"Demi","Eusarca confusaria"
247,2.22044604925031e-16,3.82504391171237e-14,"Demi","Eusarca confusaria"
248,2.22044604925031e-16,3.82542396507592e-14,"Demi","Eusarca confusaria"
249,2.22044604925031e-16,3.82583539443971e-14,"Demi","Eusarca confusaria"
250,2.22044604925031e-16,3.82627749959254e-14,"Demi","Eusarca confusaria"
251,2.22044604925031e-16,3.82674957684162e-14,"Demi","Eusarca confusaria"
252,2.22044604925031e-16,3.82725091904431e-14,"Demi","Eusarca confusaria"
253,2.22044604925031e-16,3.82778081567682e-14,"Demi","Eusarca confusaria"
254,2.22044604925031e-16,3.8283385529395e-14,"Demi","Eusarca confusaria"
255,2.22044604925031e-16,3.82892341389902e-14,"Demi","Eusarca confusaria"
256,2.22044604925031e-16,3.82953467866699e-14,"Demi","Eusarca confusaria"
257,2.22044604925031e-16,3.8301716246152e-14,"Demi","Eusarca confusaria"
258,2.22044604925031e-16,3.83083352662727e-14,"Demi","Eusarca confusaria"
259,2.22044604925031e-16,3.83151965738665e-14,"Demi","Eusarca confusaria"
